period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,city,state,state_code,property_type,property_type_id,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,parent_metro_region_metro_code,last_updated,period_begin_in_years,period_end_in_years,period_begin_in_months,period_end_in_months
2016-10-01,2016-10-31,30,national,11,1400,f,National,U.S.,US,Single Units Only,-2,251588.0,261575.0,137.0,141.0,485847.0,1683517.0,3.4651123328676854,50.0,0.9789500133549324,0.2166977157215702,,2024-11-12 14:08:32,2016,2016,Oct,Oct
2020-04-01,2020-04-30,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,312073.0,328613.0,156.0,162.0,344771.0,1010550.0,2.9310736777119386,36.0,0.9883408178411414,0.2889551985220462,,2024-11-12 14:08:32,2020,2020,Apr,Apr
2024-04-01,2024-04-30,30,national,11,1400,f,National,U.S.,US,Single Units Only,-2,432160.0,454610.0,240.0,246.0,443974.0,1095433.0,2.467332612700812,35.0,0.9967623433120286,0.334683273960801,,2024-11-12 14:08:32,2024,2024,Apr,Apr
2021-06-01,2021-06-30,30,national,11,1400,f,National,U.S.,US,All Residential,-1,388026.0,383536.0,208.0,205.0,726815.0,878238.0,1.2083377385913034,15.0,1.025455709416006,0.5639462249885823,,2024-11-12 14:08:32,2021,2021,Jun,Jun
2021-08-01,2021-08-31,30,national,11,1400,f,National,U.S.,US,Condo/Co-op,3,306478.0,306871.0,276.0,274.0,75259.0,132351.0,1.7586147406341508,25.0,1.002855199163446,0.3901541783552754,,2024-11-12 14:08:32,2021,2021,Aug,Aug
2016-04-01,2016-04-30,30,national,11,1400,f,National,U.S.,US,All Residential,-1,245834.0,272991.0,132.0,142.0,521340.0,1785840.0,3.4254798163643967,49.0,0.9813812660840878,0.2437547224649127,,2024-11-12 14:08:32,2016,2016,Apr,Apr
2019-07-01,2019-07-31,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,310100.0,308426.0,155.0,155.0,497381.0,1330085.0,2.674173577750013,37.0,0.9862116385418502,0.2597691124197741,,2024-11-12 14:08:32,2019,2019,Jul,Jul
2022-08-01,2022-08-31,30,national,11,1400,f,National,U.S.,US,Multi-Family (2-4 Unit),4,407569.0,431524.0,174.0,188.0,11778.0,37007.0,3.142038414460486,32.0,0.9852281552783296,0.3493198805406073,,2024-11-12 14:08:32,2022,2022,Aug,Aug
2015-10-01,2015-10-31,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,239290.0,252480.0,123.0,128.0,383638.0,1514024.0,3.9464888178260304,56.0,0.9746457488584312,0.1997246262666555,,2024-11-12 14:08:32,2015,2015,Oct,Oct
2024-03-01,2024-03-31,30,national,11,1400,f,National,U.S.,US,Single Units Only,-2,419343.0,440800.0,234.0,243.0,403791.0,1025646.0,2.540038374066372,40.0,0.9925675613788024,0.2988993920578422,,2024-11-12 14:08:32,2024,2024,Mar,Mar
2012-11-01,2012-11-30,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,195751.0,191769.0,101.0,101.0,307692.0,1430418.0,4.648859564730177,75.0,0.9698260174956872,0.2061368775467608,,2024-11-12 14:08:32,2012,2012,Nov,Nov
2021-12-01,2021-12-31,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,400520.0,385933.0,205.0,204.0,454223.0,475378.0,1.0465737640103578,24.0,1.0065267700604712,0.4450903787287661,,2024-11-12 14:08:32,2021,2021,Dec,Dec
2022-01-01,2022-01-31,30,national,11,1400,f,National,U.S.,US,All Residential,-1,377845.0,399766.0,211.0,223.0,415809.0,628154.0,1.5106799575131933,27.0,1.0041248434472791,0.4239470506087768,,2024-11-12 14:08:32,2022,2022,Jan,Jan
2012-04-01,2012-04-30,30,national,11,1400,f,National,U.S.,US,Multi-Family (2-4 Unit),4,164932.0,174525.0,79.0,82.0,8898.0,59452.0,6.681403193874974,79.0,0.9460571389923972,0.2155700305646985,,2024-11-12 14:08:32,2012,2012,Apr,Apr
2023-10-01,2023-10-31,30,national,11,1400,f,National,U.S.,US,All Residential,-1,413422.0,416926.0,230.0,233.0,404793.0,1118743.0,2.7637383605776384,34.0,0.9931657659729533,0.3167221997182819,,2024-11-12 14:08:32,2023,2023,Oct,Oct
2022-05-01,2022-05-31,30,national,11,1400,f,National,U.S.,US,Single Units Only,-2,432256.0,437432.0,238.0,234.0,580681.0,899200.0,1.5485251806931577,17.0,1.0315559244783956,0.5922460460991055,,2024-11-12 14:08:32,2022,2022,May,May
2015-03-01,2015-03-31,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,231224.0,262526.0,117.0,127.0,352543.0,1411730.0,4.0044109470551295,70.0,0.9750292171620942,0.2047250054445254,,2024-11-12 14:08:32,2015,2015,Mar,Mar
2014-06-01,2014-06-30,30,national,11,1400,f,National,U.S.,US,All Residential,-1,229585.0,237336.0,122.0,126.0,538321.0,2037302.0,3.784546251751953,48.0,0.9775643223087904,0.2153974351988244,,2024-11-12 14:08:32,2014,2014,Jun,Jun
2019-10-01,2019-10-31,30,national,11,1400,f,National,U.S.,US,All Residential,-1,293808.0,299762.0,160.0,163.0,542117.0,1607794.0,2.9657657295749016,44.0,0.9815369505785406,0.2219189574490333,,2024-11-12 14:08:32,2019,2019,Oct,Oct
2014-03-01,2014-03-31,30,national,11,1400,f,National,U.S.,US,Single Units Only,-2,210628.0,236216.0,115.0,125.0,380768.0,1768057.0,4.643389815826777,71.0,0.9725088703932432,0.2009501564831235,,2024-11-12 14:08:32,2014,2014,Mar,Mar
2018-01-01,2018-01-31,30,national,11,1400,f,National,U.S.,US,All Residential,-1,264407.0,288485.0,144.0,154.0,359669.0,1273501.0,3.540751119123388,54.0,0.978339294410462,0.2108131634580853,,2024-11-12 14:08:32,2018,2018,Jan,Jan
2016-07-01,2016-07-31,30,national,11,1400,f,National,U.S.,US,Single Units Only,-2,257730.0,264581.0,138.0,141.0,569129.0,1821603.0,3.2006864238219803,41.0,0.9839091686468916,0.2538553215146416,,2024-11-12 14:08:32,2016,2016,Jul,Jul
2016-06-01,2016-06-30,30,national,11,1400,f,National,U.S.,US,Multi-Family (2-4 Unit),4,261147.0,269815.0,123.0,123.0,11331.0,48540.0,4.283772564566683,44.0,0.9688569790651445,0.2634277879968941,,2024-11-12 14:08:32,2016,2016,Jun,Jun
2015-11-01,2015-11-30,30,national,11,1400,f,National,U.S.,US,Multi-Family (2-4 Unit),4,231159.0,235315.0,109.0,111.0,8738.0,52108.0,5.9631265802638165,55.0,0.950575806526652,0.2015944176277382,,2024-11-12 14:08:32,2015,2015,Nov,Nov
2020-05-01,2020-05-31,30,national,11,1400,f,National,U.S.,US,Townhouse,13,271969.0,293050.0,164.0,177.0,39551.0,117109.0,2.9609641126824138,36.0,0.9894602024063291,0.2670582369388305,,2024-11-12 14:08:32,2020,2020,May,May
2020-11-01,2020-11-30,30,national,11,1400,f,National,U.S.,US,Multi-Family (2-4 Unit),4,345122.0,385238.0,154.0,168.0,11873.0,34570.0,2.911519226765196,29.0,0.9795357230005916,0.3303016926429404,,2024-11-12 14:08:32,2020,2020,Nov,Nov
2012-07-01,2012-07-31,30,national,11,1400,f,National,U.S.,US,Multi-Family (2-4 Unit),4,174292.0,177986.0,83.0,83.0,8386.0,59956.0,7.1491060097508425,64.0,0.954165527144919,0.2470785116926262,,2024-11-12 14:08:32,2012,2012,Jul,Jul
2019-02-01,2019-02-28,30,national,11,1400,f,National,U.S.,US,Condo/Co-op,3,243259.0,274992.0,209.0,237.0,41965.0,171749.0,4.0926750399827965,52.0,0.9750932007881068,0.1603011851789516,,2024-11-12 14:08:32,2019,2019,Feb,Feb
2023-11-01,2023-11-30,30,national,11,1400,f,National,U.S.,US,Single Units Only,-2,408158.0,406522.0,227.0,229.0,357454.0,1059655.0,2.9644441517500235,37.0,0.9899404118621036,0.2874165353749663,,2024-11-12 14:08:32,2023,2023,Nov,Nov
2024-02-01,2024-02-29,30,national,11,1400,f,National,U.S.,US,All Residential,-1,412155.0,433533.0,228.0,241.0,342766.0,1011039.0,2.9496463923058096,48.0,0.9872865292671876,0.2613266697790711,,2024-11-12 14:08:32,2024,2024,Feb,Feb
2015-06-01,2015-06-30,30,national,11,1400,f,National,U.S.,US,Multi-Family (2-4 Unit),4,243063.0,249952.0,112.0,117.0,10874.0,55879.0,5.138395425519251,46.0,0.9623187856645344,0.2447662943706651,,2024-11-12 14:08:32,2015,2015,Jun,Jun
2022-04-01,2022-04-30,30,national,11,1400,f,National,U.S.,US,Multi-Family (2-4 Unit),4,428908.0,451146.0,192.0,196.0,12300.0,30465.0,2.4768714741165483,27.0,1.002480648357544,0.4576534242746695,,2024-11-12 14:08:32,2022,2022,Apr,Apr
2024-01-01,2024-01-31,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,417714.0,445147.0,218.0,230.0,221899.0,715572.0,3.2247623623756385,50.0,0.9837140606617688,0.2420985558004122,,2024-11-12 14:08:32,2024,2024,Jan,Jan
2022-08-01,2022-08-31,30,national,11,1400,f,National,U.S.,US,Townhouse,13,359002.0,355374.0,223.0,220.0,54905.0,108531.0,1.9767047845167869,26.0,1.0010184297583276,0.3839096553221781,,2024-11-12 14:08:32,2022,2022,Aug,Aug
2020-04-01,2020-04-30,30,national,11,1400,f,National,U.S.,US,Condo/Co-op,3,266604.0,271842.0,226.0,239.0,42398.0,166292.0,3.922143729019944,35.0,0.983352081145144,0.2277321163072577,,2024-11-12 14:08:32,2020,2020,Apr,Apr
2016-02-01,2016-02-29,30,national,11,1400,f,National,U.S.,US,Multi-Family (2-4 Unit),4,217206.0,257980.0,102.0,121.0,8608.0,45315.0,5.264009813052336,71.0,0.9525992835001011,0.1981709410753717,,2024-11-12 14:08:32,2016,2016,Feb,Feb
2014-11-01,2014-11-30,30,national,11,1400,f,National,U.S.,US,All Residential,-1,219894.0,220348.0,120.0,121.0,376023.0,1902344.0,5.059107014328683,64.0,0.9705441975289012,0.1765716728167095,,2024-11-12 14:08:32,2014,2014,Nov,Nov
